Speed_kmh,TTC_Threshold_s,Activation_Range_m,Stop_Range_m
55,1.4,21.3888888888889,7.39089406797701
60,1.4,23.3333333333333,6.67456263737209
65,1.4,25.2777777777778,5.72685939154549
70,1.4,27.2222222222222,4.5477843304972
75,1.4,29.1666666666667,3.13733745422723
80,1.4,31.1111111111111,1.49551876273557
